"id","year","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Unknown","Utah","Virginia","Washington","West Virginia","Wisconsin"
"1",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"2",2000,3,0,5,1,11,0,1,0,0,5,0,0,0,5,1,0,1,3,2,1,2,2,2,1,0,2,1,0,1,1,6,0,4,0,5,0,0,1,0,0,0,0,1,2,1,1,1,1,0,1
"3",2001,0,1,2,1,11,0,0,1,0,5,4,0,0,5,1,1,0,0,1,0,3,0,3,1,1,4,0,1,0,1,4,0,2,0,1,0,2,5,0,0,1,0,2,3,21,2,8,0,0,1
"4",2002,1,0,3,1,22,1,1,0,0,8,8,0,0,5,4,0,2,1,1,0,2,3,5,6,2,7,0,0,0,0,10,1,9,8,3,1,3,10,0,0,2,0,3,12,73,0,6,0,1,4
"5",2003,0,0,0,1,8,0,1,1,0,4,1,0,0,6,1,0,3,4,13,1,0,1,1,0,1,3,0,2,1,1,4,1,5,0,2,1,4,8,0,1,1,0,0,3,45,0,1,1,0,2
"6",2004,0,1,0,1,4,1,0,0,0,3,4,0,1,1,0,0,0,0,1,1,3,2,2,0,1,1,0,0,1,0,4,0,3,2,6,0,2,7,0,0,1,0,1,2,35,2,2,1,0,3
"7",2005,3,0,0,1,15,0,2,0,0,7,1,0,0,4,2,0,1,4,0,0,3,3,1,4,1,2,0,0,1,1,7,0,6,1,2,0,1,4,0,0,1,0,2,5,36,0,2,2,0,0
"8",2006,2,0,0,0,4,2,0,0,2,6,0,0,0,3,2,0,0,0,3,1,13,1,0,1,0,0,0,0,0,0,4,0,4,1,0,0,3,2,0,0,0,0,1,3,51,0,4,1,1,1
"9",2007,0,0,2,0,3,0,0,1,0,5,2,2,0,4,1,0,0,0,0,1,19,1,4,1,0,0,0,1,0,0,2,0,7,4,5,0,0,3,0,0,0,0,0,4,22,0,0,2,0,5
"10",2008,0,0,0,5,11,3,0,0,0,7,7,1,1,5,6,0,0,0,1,0,3,2,5,1,2,3,1,0,2,1,3,0,1,2,1,2,3,11,0,0,0,0,1,9,25,0,4,1,1,2
"11",2009,1,0,1,0,12,0,0,1,0,9,4,1,0,3,3,1,0,2,1,0,2,3,1,0,0,0,0,0,1,1,4,0,8,3,4,1,0,2,0,0,0,0,1,5,114,2,3,2,0,2
"12",2010,0,0,0,0,3,0,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,1,0,26,0,0,1,0,0
"13",2011,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,16,2,1,1,0,0
"14",2012,0,0,1,0,2,0,0,0,0,3,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,1,2,0,1,0,1,0,0,0,0,2,4,7,0,1,1,1,1
"15",2013,0,0,2,0,1,2,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,2,0,11,0,0,1,0,0
"16",2014,0,0,1,1,0,0,1,1,0,4,1,0,0,2,1,0,0,2,1,2,1,0,0,3,0,0,0,0,1,0,0,0,1,2,2,0,0,2,0,0,0,0,0,7,17,0,0,0,0,1
"17",2015,2,0,1,0,8,1,0,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,2,0,1,2,3,0,0,3,1,0,0,0,0,3,21,0,1,2,0,0
"18",2016,2,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,1
